ID	Provider	2019-01-Steps	2019-02-Steps	2019-03-Steps	2019-04-Steps	2019-05-Steps	2019-06-Steps	2019-07-Steps	2019-08-Steps	2019-09-Steps	2019-10-Steps	2019-11-Steps	2019-12-Steps	2020-01-Steps	2020-02-Steps	2020-03-Steps	2020-04-Steps	2020-05-Steps	2020-06-Steps	2020-07-Steps	2020-08-Steps	2020-09-Steps	2020-10-Steps	2020-11-Steps	2020-12-Steps	2020-03-01-Steps	2020-03-13-Steps	2019-Steps	2020-Steps	2019-01-Mvpa	2019-02-Mvpa	2019-03-Mvpa	2019-04-Mvpa	2019-05-Mvpa	2019-06-Mvpa	2019-07-Mvpa	2019-08-Mvpa	2019-09-Mvpa	2019-10-Mvpa	2019-11-Mvpa	2019-12-Mvpa	2020-01-Mvpa	2020-02-Mvpa	2020-03-Mvpa	2020-04-Mvpa	2020-05-Mvpa	2020-06-Mvpa	2020-07-Mvpa	2020-08-Mvpa	2020-09-Mvpa	2020-10-Mvpa	2020-11-Mvpa	2020-12-Mvpa	2020-03-01-Mvpa	2020-03-13-Mvpa	2019-Mvpa	2020-Mvpa	2019-01-TEE	2019-02-TEE	2019-03-TEE	2019-04-TEE	2019-05-TEE	2019-06-TEE	2019-07-TEE	2019-08-TEE	2019-09-TEE	2019-10-TEE	2019-11-TEE	2019-12-TEE	2020-01-TEE	2020-02-TEE	2020-03-TEE	2020-04-TEE	2020-05-TEE	2020-06-TEE	2020-07-TEE	2020-08-TEE	2020-09-TEE	2020-10-TEE	2020-11-TEE	2020-12-TEE	2020-03-01-TEE	2020-03-13-TEE	2019-TEE	2020-TEE	2019-01-AEE	2019-02-AEE	2019-03-AEE	2019-04-AEE	2019-05-AEE	2019-06-AEE	2019-07-AEE	2019-08-AEE	2019-09-AEE	2019-10-AEE	2019-11-AEE	2019-12-AEE	2020-01-AEE	2020-02-AEE	2020-03-AEE	2020-04-AEE	2020-05-AEE	2020-06-AEE	2020-07-AEE	2020-08-AEE	2020-09-AEE	2020-10-AEE	2020-11-AEE	2020-12-AEE	2020-03-01-AEE	2020-03-13-AEE	2019-AEE	2020-AEE	2019-01-LPA	2019-02-LPA	2019-03-LPA	2019-04-LPA	2019-05-LPA	2019-06-LPA	2019-07-LPA	2019-08-LPA	2019-09-LPA	2019-10-LPA	2019-11-LPA	2019-12-LPA	2020-01-LPA	2020-02-LPA	2020-03-LPA	2020-04-LPA	2020-05-LPA	2020-06-LPA	2020-07-LPA	2020-08-LPA	2020-09-LPA	2020-10-LPA	2020-11-LPA	2020-12-LPA	2020-03-01-LPA	2020-03-13-LPA	2019-LPA	2020-LPA	2019-01-MPA	2019-02-MPA	2019-03-MPA	2019-04-MPA	2019-05-MPA	2019-06-MPA	2019-07-MPA	2019-08-MPA	2019-09-MPA	2019-10-MPA	2019-11-MPA	2019-12-MPA	2020-01-MPA	2020-02-MPA	2020-03-MPA	2020-04-MPA	2020-05-MPA	2020-06-MPA	2020-07-MPA	2020-08-MPA	2020-09-MPA	2020-10-MPA	2020-11-MPA	2020-12-MPA	2020-03-01-MPA	2020-03-13-MPA	2019-MPA	2020-MPA	2019-01-VPA	2019-02-VPA	2019-03-VPA	2019-04-VPA	2019-05-VPA	2019-06-VPA	2019-07-VPA	2019-08-VPA	2019-09-VPA	2019-10-VPA	2019-11-VPA	2019-12-VPA	2020-01-VPA	2020-02-VPA	2020-03-VPA	2020-04-VPA	2020-05-VPA	2020-06-VPA	2020-07-VPA	2020-08-VPA	2020-09-VPA	2020-10-VPA	2020-11-VPA	2020-12-VPA	2020-03-01-VPA	2020-03-13-VPA	2019-VPA	2020-VPA	2019-01-SED	2019-02-SED	2019-03-SED	2019-04-SED	2019-05-SED	2019-06-SED	2019-07-SED	2019-08-SED	2019-09-SED	2019-10-SED	2019-11-SED	2019-12-SED	2020-01-SED	2020-02-SED	2020-03-SED	2020-04-SED	2020-05-SED	2020-06-SED	2020-07-SED	2020-08-SED	2020-09-SED	2020-10-SED	2020-11-SED	2020-12-SED	2020-03-01-SED	2020-03-13-SED	2019-SED	2020-SED
33	Fitbit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5493	4817	4762	4271	4159	3430	2526	6667	5615	5443	4230	4175	4446	3214	3488	5254	2277	4982	4311	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32	28	28	23	25	16	11	44	32	22	17	13	15	14	10	33	5	29	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2769	2633	2683	2623	2693	2628	2565	2974	2881	2837	2789	2763	2709	2565	2628	2833	2499	2689	2722	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	883	753	791	694	750	670	602	1105	1008	978	890	855	818	639	735	893	530	803	813	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	130	63	43	29	23	20	16	19	17	16	14	12	11	8	9	9	11	118	109	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	5	4	2	1	1	0	1	1	1	0	0	0	0	0	0	0	12	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	17	10	6	3	3	1	0	3	1	1	0	0	0	0	0	1	0	17	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	843	479	320	234	174	148	130	103	89	87	76	67	66	60	56	61	93	853	677
34	Garmin	8548	10450	9917	8768	9515	10230	11689	9619	9834	9716	9296	8546	8012	8135	6718	7217	8024	8853	9334	8537	9619	8630	9316	9016	5506	7483	9678	8443	36	38	32	29	24	30	28	30	28	28	27	25	32	22	29	18	24	24	43	18	23	31	31	39	26	32	29	28	2989	3093	2948	2844	2886	2986	2928	2876	2943	2897	2983	2950	2704	3032	3100	2775	3067	2954	2661	2836	2819	2725	2760	2807	3103	3098	2943	2853	765	869	729	650	685	842	744	671	734	675	750	717	663	805	878	553	845	736	635	631	629	684	568	613	881	876	735	687	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	3	2	1	0	2	2	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	9	6	26	14	8	5	4	2	2	2	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
35	Garmin	NULL	13904	12829	15742	16446	15846	14504	16715	16834	14104	14572	11573	14127	15537	15364	14685	16172	15209	15143	15909	16025	12874	14205	14288	15152	15499	14990	14960	NULL	80	72	74	66	72	53	90	64	44	48	41	53	69	67	61	58	59	57	66	64	42	62	56	59	72	62	59	NULL	2378	2293	2820	2830	2862	2741	2943	2879	2694	2738	2546	2651	2851	2819	2755	2838	2882	2781	2841	2852	2698	2782	2727	2780	2844	2750	2790	NULL	828	859	878	765	797	676	878	814	626	673	500	632	813	815	743	804	835	737	797	808	651	738	683	739	863	741	755	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	80	5	17	6	6	2	6	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4	NULL	0	56	25	19	13	8	10	7	5	4	3	4	5	4	3	3	3	2	3	2	1	2	2	1	2	45	28	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36	Garmin	NULL	NULL	NULL	NULL	10376	8331	8054	11251	11547	9517	12296	12197	11937	8767	10967	9541	11239	11873	11974	12315	11472	10037	12112	11475	11566	10589	10449	11150	NULL	NULL	NULL	NULL	24	8	NULL	20	26	21	30	27	27	24	28	27	31	20	20	27	22	19	19	18	25	29	19	24	NULL	NULL	NULL	NULL	2305	2186	2256	2419	2412	2307	2453	2410	2377	2290	2386	2323	2389	2416	2406	2422	2312	2298	2359	2453	2419	2364	2347	2369	NULL	NULL	NULL	NULL	645	526	596	749	728	621	775	726	699	612	708	645	711	738	728	744	634	623	681	775	741	686	673	691	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	3	NULL	2	2	2	2	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	9	8	NULL	NULL	NULL	NULL	12	2	NULL	3	3	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
37	Garmin	12372	15760	13765	13764	13091	14336	15182	13112	14056	12965	12082	12197	12595	12849	12700	14432	15460	14449	15632	14150	13315	11702	12173	13612	12074	13095	13539	13593	29	26	33	37	38	39	38	44	40	32	26	33	32	37	37	50	54	47	44	44	43	26	31	50	32	40	35	41	1917	2005	1972	1988	1935	1975	1956	2038	2000	1942	1884	1950	1933	1972	1965	2008	2095	2062	2065	2083	2006	1907	1916	2002	1915	1997	1963	2001	466	554	521	537	484	524	505	587	549	491	433	499	488	527	520	563	650	617	620	638	561	462	471	557	470	552	512	556	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	26	11	11	8	6	5	5	5	4	2	2	2	2	2	2	2	3	2	2	2	1	1	1	1	0	1	32	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
38	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8777	NULL	NULL	8301	10218	8760	6908	6452	NULL	NULL	NULL	8174	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	59	49	47	27	36	NULL	NULL	NULL	41	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2576	NULL	NULL	2843	2785	2940	3080	3108	NULL	NULL	NULL	2953	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	979	NULL	NULL	848	786	932	1051	1077	NULL	NULL	NULL	948	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	8	3	1	1	NULL	NULL	NULL	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	38	24	15	6	5	NULL	NULL	NULL	32	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
39	Fitbit	18968	15344	19391	15637	18118	18669	23533	20570	17022	15277	14950	15011	15579	15682	19415	21905	20405	18642	21419	19098	14529	16755	12331	8149	19415	19414	17736	17025	150	146	133	124	152	157	218	188	135	121	132	121	115	137	185	215	205	190	207	171	135	146	97	58	178	190	148	155	2670	2531	2594	2482	2694	2725	2996	2850	2562	2517	2501	2489	2498	2513	2642	2790	2848	2846	2895	2678	2495	2497	2265	2031	2729	2587	2635	2585	1673	1491	1569	1445	1683	1725	2060	1878	1514	1469	1452	1447	1412	1473	1613	1762	1845	1874	1894	1638	1418	1403	1141	834	1740	1532	1618	1528	261	103	84	59	51	40	36	31	24	24	19	20	19	15	12	9	11	13	10	9	9	8	8	6	6	6	241	98	83	41	17	18	16	13	16	13	7	6	6	6	5	5	6	5	5	4	4	3	2	2	1	0	2	3	79	35	67	26	28	12	14	12	15	10	7	6	5	4	3	3	6	8	7	5	6	5	3	4	2	1	2	4	69	42	493	254	187	135	109	87	63	57	69	59	54	44	45	39	38	34	30	27	28	29	29	29	27	28	14	24	533	291
40	Fitbit	8739	9830	7973	7992	9331	9135	9823	6378	7932	7090	8332	8502	8784	10809	10238	13625	10918	11170	12689	11681	10390	9063	9187	7669	9024	11005	8411	10511	63	73	48	59	69	60	72	31	42	35	59	53	64	72	72	100	74	77	101	80	72	51	61	45	63	78	55	72	3091	3152	3029	3057	3197	3241	3278	2937	3051	2974	3045	3052	3081	3202	3158	3457	3233	3251	3399	3265	3165	3025	2980	2920	3029	3240	3092	3177	1276	1368	1199	1257	1430	1479	1573	1123	1254	1161	1224	1269	1265	1469	1394	1840	1584	1565	1785	1608	1479	1312	1267	1184	1260	1478	1300	1479	153	75	58	40	36	34	30	23	21	19	13	15	11	11	9	11	11	9	10	9	8	8	6	7	4	6	178	87	13	7	4	5	3	4	3	1	2	0	1	0	1	1	0	1	1	1	2	1	0	0	0	0	0	0	16	9	49	27	12	9	10	6	6	2	2	2	4	3	4	3	4	4	2	3	3	2	2	1	2	1	1	2	38	26	750	345	266	185	149	125	105	99	83	81	70	69	60	48	52	43	45	40	37	39	34	34	33	31	21	31	761	373
41	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5339	6835	5643	6752	6353	6783	4888	5550	4783	5559	5381	5322	NULL	5860	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13	50	37	67	62	73	43	73	55	65	7	15	NULL	54	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1791	1873	1811	1916	1897	1987	1812	1919	1856	1796	1725	1819	NULL	1868	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	218	297	255	387	367	443	297	417	344	339	158	243	NULL	337	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	11	5	8	4	6	3	5	3	3	0	3	NULL	27	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9	15	7	8	6	6	2	4	2	1	6	7	NULL	26	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
42	Fitbit	8408	7562	7099	8988	8399	8440	7140	9191	6558	7303	6225	7491	6552	6352	7520	7948	8106	7717	8848	8940	6555	7253	6463	7232	7056	7813	7721	7466	53	40	34	41	38	38	14	47	4	NULL	NULL	NULL	9	29	27	24	48	45	50	55	37	44	28	46	9	38	25	37	2102	1996	2009	2104	2060	2057	1975	2120	1961	1996	1918	2003	1973	1947	1973	1981	1990	1972	2022	2040	1885	1933	1874	1930	1971	1975	2025	1960	919	768	648	772	858	811	404	897	121	NULL	NULL	NULL	232	728	432	440	777	748	823	832	650	707	433	707	162	602	504	626	203	75	52	44	31	32	15	26	3	NULL	NULL	NULL	4	12	6	6	10	8	9	8	7	7	4	6	1	5	114	70	38	12	7	5	3	4	1	3	0	NULL	NULL	NULL	0	1	1	0	1	1	1	1	1	0	0	1	0	1	15	9	14	6	4	4	2	2	0	2	0	NULL	NULL	NULL	0	0	0	0	1	1	1	1	0	1	0	0	0	0	9	9	1183	395	338	242	146	154	197	123	154	152	134	126	100	56	72	62	43	41	37	38	35	39	50	33	35	38	1143	443
43	Garmin	7345	8404	10987	11343	9084	9814	5624	7217	11164	10945	9880	9418	11625	11647	11122	13493	12587	11293	10270	12055	12135	12003	12292	11337	10814	11348	9569	11852	3	9	19	19	4	8	NULL	1	18	11	22	18	20	19	16	9	15	10	14	10	15	20	29	31	25	10	12	17	2119	2127	2297	2332	2243	2311	1905	1972	2306	2183	2256	2186	2245	2248	2177	2178	2232	2120	2206	2280	2242	2274	2290	2409	2214	2149	2208	2239	487	526	650	689	600	675	347	398	720	580	661	614	645	648	581	589	632	520	543	594	556	596	617	745	614	556	596	602	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	1	0	0	0	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	4	5	4	0	0	NULL	0	0	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	10	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
44	Garmin	12363	13825	14594	12167	18860	14793	12365	5391	9647	12352	10607	12430	11535	12973	5357	4048	9083	10015	10285	10320	8947	9930	9377	11321	11411	1534	12359	9404	55	68	76	58	113	67	56	9	54	60	54	55	61	69	18	17	55	57	38	47	45	56	52	63	47	NULL	60	48	3376	3510	3567	3337	4005	3501	3316	2774	3241	3400	3281	3327	3353	3471	2899	2849	3245	3255	3158	3254	3175	3282	3180	3341	3328	2628	3378	3203	943	1066	1130	928	1567	1068	877	324	769	922	799	844	863	975	398	329	716	776	642	731	668	767	666	829	828	127	927	693	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	4	3	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	8	3	47	27	22	11	17	10	7	0	4	5	4	4	4	4	1	0	3	1	1	2	1	2	2	2	1	NULL	51	21	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
45	Garmin	10330	12691	11865	14192	11753	13428	14130	11525	9222	9972	9125	10067	11982	11662	10528	7604	8828	10058	12789	12175	9448	9713	10233	8992	13685	8534	11516	10356	21	35	34	52	29	44	33	39	22	19	13	29	20	15	28	35	49	44	75	49	22	20	14	19	20	33	31	33	2769	2903	2777	2825	2773	2830	2705	2699	2526	2602	2492	2608	2687	2690	2608	2565	2716	2712	2807	2739	2545	2549	2558	2529	2678	2565	2708	2644	710	844	718	785	741	809	685	679	501	574	464	580	665	664	583	537	688	694	792	724	530	534	529	495	650	541	673	622	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	7	4	5	3	3	3	2	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	13	7	14	9	7	7	3	3	1	2	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	17	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
46	Garmin	7255	7032	7896	6938	7375	7093	8896	6805	6729	7292	6579	6217	5484	6601	6315	6886	5424	8668	8465	7722	7181	8146	6198	6804	7023	5868	7179	6989	43	18	23	30	57	62	87	46	43	42	49	51	17	21	12	6	12	18	10	9	17	10	5	10	14	12	46	12	2522	2896	2953	2651	2451	2451	2498	2433	2431	2430	2407	2399	2473	2746	2681	2749	2856	2894	2839	2866	2846	2756	2747	2852	2637	2709	2540	2772	329	674	734	429	229	229	276	211	218	225	210	201	260	483	416	484	591	629	607	601	581	491	482	587	372	444	327	514	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	42	4	4	5	11	10	12	5	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	44	4	0	4	3	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47	Fitbit	10488	9769	10743	11497	12048	12511	9575	11920	10768	9292	8306	9520	8537	9397	7968	9583	9762	9873	9024	10695	9429	10176	10127	9960	7348	8294	10553	9552	65	53	68	72	92	106	100	123	64	64	55	61	41	55	50	53	53	59	34	68	58	67	61	51	36	57	78	54	3110	3099	3181	3273	3393	3519	3392	3537	3248	3190	2929	3029	2887	2962	2733	2931	3015	3085	2948	3219	3069	3136	3030	2948	2691	2755	3248	2998	1556	1517	1629	1759	1895	2047	1894	2074	1773	1674	1351	1459	1308	1387	1104	1357	1460	1559	1392	1717	1533	1593	1466	1376	1064	1125	1727	1439	221	121	85	65	51	43	36	30	31	26	18	15	17	15	10	13	14	14	13	13	11	11	9	9	4	6	237	116	25	8	9	7	7	7	7	7	3	3	2	1	0	1	0	1	1	2	0	2	1	1	0	0	0	0	32	11	40	20	16	12	12	10	7	8	3	3	2	3	2	2	2	2	1	1	1	1	1	1	1	1	0	1	45	15	708	373	258	181	139	106	97	82	70	69	65	52	55	47	50	43	41	37	37	33	32	32	29	30	19	32	666	349
48	Fitbit	10719	14497	14269	12078	11508	16148	14400	10951	11892	11044	NULL	NULL	NULL	12878	11884	10899	14427	16548	17157	11220	10372	12326	13045	12635	10673	12648	12744	13038	61	90	83	55	47	78	69	46	37	34	NULL	NULL	NULL	77	77	85	89	95	72	59	48	85	98	88	56	91	60	80	2238	2465	2416	2329	2270	2593	2593	2260	2293	2253	NULL	NULL	NULL	2422	2209	2240	2455	2696	2733	2287	2167	2251	2258	2285	2209	2210	2371	2359	1012	1287	1231	1137	940	1501	1427	1068	909	1063	NULL	NULL	NULL	1266	1008	1034	1350	1676	1747	896	776	1061	1054	1117	1009	1007	1157	1173	184	96	70	56	38	49	43	30	20	22	NULL	NULL	NULL	6	14	12	19	22	25	10	8	9	6	8	7	7	227	105	22	16	9	5	4	9	7	3	1	1	NULL	NULL	NULL	0	2	2	3	3	3	2	1	1	1	1	0	1	29	17	38	26	19	8	5	3	2	2	2	1	NULL	NULL	NULL	1	4	4	3	3	1	1	1	2	3	2	1	3	31	23	711	283	211	156	158	91	84	87	83	62	NULL	NULL	NULL	19	62	57	44	36	37	53	57	36	33	31	26	37	657	349
49	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5322	4200	4379	4444	5288	5380	4277	4447	5891	6753	5886	5938	7087	6025	6296	5805	3466	4602	5683	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	2	2	5	1	11	5	2	2	3	6	4	17	20	13	10	19	2	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2071	2018	1991	2054	2019	2124	1999	2034	2176	2267	2177	2143	2265	2163	2137	2167	1929	2027	2135	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	377	322	297	371	364	434	299	355	476	567	477	443	558	458	440	479	229	332	441	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
50	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8725	11360	9349	14361	7689	7417	2784	11172	11257	7558	8488	10468	12159	7575	NULL	9824	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11	16	14	45	9	10	NULL	30	31	23	12	16	28	5	NULL	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1882	1922	1876	2168	1793	1857	803	1970	1992	1895	1837	1855	2038	1775	NULL	1912	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	309	350	298	590	215	279	65	392	414	320	287	348	460	197	NULL	346	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	0	1	0	0	NULL	0	1	0	0	0	1	0	NULL	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	10	5	12	1	1	NULL	4	3	2	0	0	6	1	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
